"author_id","indexed_name","surname","given_name","gender","citation_count","cited_by_count","coauthor_count","author_doc_all","authorEC_doc_CS_2018","authorEC_COA_doc_CS_2018","author_doc_CS_all_2018","author_doc_CS_all","ratiosCSEC","hindex","yearIn","yearFin","careerLength","active","affiliation_current","affiliation_name","country_affil","org_type","affil_author_count","affil_document_count","category"
"9-s2.0-10039323700","Apolinário J.","Apolinário","José Antonio","M",864,620,67,92,1,1,67,70,1,15,1996,2019,24,1,60021970,"Instituto Militar de Engenharia","Brazil","resi",1053,2624,"external"
"9-s2.0-10040644200","Nacenta M.","Nacenta","Miguel A.","M",1259,1029,106,64,1,4,58,62,2,20,2005,2019,15,1,60022132,"University of St Andrews","United Kingdom","univ",7214,46160,"external"
"9-s2.0-10138834300","Zennaro M.","Zennaro","Marco","M",902,820,142,78,0,1,51,56,0,17,2001,2019,19,1,60031745,"Abdus Salam International Centre for Theoretical Physics","Italy","resi",896,13549,"external"
"9-s2.0-10139949800","Turias Dominguez I.","Turias Dominguez","Ignacio","M",305,221,41,53,0,1,14,26,0,10,2002,2020,19,1,60016476,"Universidad de Cadiz","Spain","univ",3423,14601,"external"
"9-s2.0-10639679200","Roy S.","Roy","Sandip","M",2291,1422,135,212,0,3,54,59,0,23,2000,2020,21,1,60009831,"Washington State University","United States","univ",2798,10534,"external"
"9-s2.0-10839179200","Zamora A.","Zamora","Antonio","M",121,84,21,43,0,1,26,26,0,6,1999,2018,20,1,60010844,"Universitat d'Alacant","Spain","univ",4799,24953,"external"
"9-s2.0-10840143000","Bayas A.","Bayas","Antonio","M",1,1,1,3,1,1,1,1,100,1,1993,1996,4,0,60072054,"Escuela Politécnica Nacional","Ecuador","univ",1031,1861,"national"
"9-s2.0-11239132700","Higuerey A.","Higuerey","Angel","M",2,2,12,5,2,2,2,4,100,1,2005,2018,14,1,60072064,"Universidad Tecnica Particular de Loja","Ecuador","univ",983,1450,"national"
"9-s2.0-11441057800","Grisoni L.","Grisoni","Laurent","M",736,622,85,61,0,1,47,53,0,13,1999,2019,21,1,60104665,"University of Lille","France","univ",5150,14661,"external"
"9-s2.0-11939991000","MARTINEZ-RUIZ M.","MARTINEZ-RUIZ","Maria Pilar","F",594,549,51,77,0,1,10,10,0,11,2006,2019,14,1,60000823,"Universidad de Castilla-La Mancha","Spain","univ",5064,21920,"external"
"9-s2.0-11940559300","Deshpande S.","Deshpande","Sunil","M",132,101,52,23,0,1,3,3,0,7,2011,2019,9,1,60077572,"Harvard John A. Paulson School of Engineering and Applied Sciences","United States","univ",932,2998,"external"
"9-s2.0-12039533500","Oñate P.","Oñate","Pablo","M",10,10,4,7,0,1,2,2,0,2,2003,2019,17,1,60002644,"University of Valencia","Spain","univ",13612,62852,"external"
"9-s2.0-12040486400","Betancur M.","Betancur","Manuel J.","M",91,81,41,27,0,1,9,9,0,5,2003,2019,17,1,60046690,"Universidad Pontificia Bolivariana","Colombia","univ",1951,2882,"external"
