"author_id","indexed_name","surname","given_name","gender","affiliation_current","citation_count","cited_by_count","coauthor_count","document_count","authorEC_doc_CS_2018","author_doc_CS_all_2018","author_doc_CS_all","publication_range","hindex","address","affiliation_name","department_id","department_name","author_count","city","country","date_created","affil_document_count","org_URL","org_domain","org_type","postal_code","search_link","sort_name","state","category"
57202948507,,,,,,0,0,0,0,2,,,,0,,,,,,,,,,,,,,,,,"nationalP"
57193024942,,,,,,0,0,0,0,2,,,,0,,,,,,,,,,,,,,,,,"externalN"
56134441900,,,,,,0,0,0,0,1,,,,0,,,,,,,,,,,,,,,,,"externalN"
57204770670,"A Lvarez M.","A Lvarez","Maria Antonieta","F",60072061,1,1,6,1,1,1,1,"2018-2018",1,"Malecon 100 y Loja","Escuela Superior Politecnica del Litoral Ecuador",,,1054,"Guayaquil","Ecuador","2/2/2008",1618,"http://www.espol.edu.ec/","espol.edu.ec","resi",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860072061%29","Escuela Superior Politecnica del Litoral Ecuador","Guayas","national"
55965684700,"Abad A.","Abad","Andres G.","M",60072061,58,54,11,12,6,7,9,"2011-2019",5,"Malecon 100 y Loja","Escuela Superior Politecnica del Litoral Ecuador",,,1054,"Guayaquil","Ecuador","2/2/2008",1618,"http://www.espol.edu.ec/","espol.edu.ec","resi",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860072061%29","Escuela Superior Politecnica del Litoral Ecuador","Guayas","national"
22957218500,"Abad C.","Abad","Cristina L.","F",60072061,423,391,80,34,23,26,33,"2003-2019",10,"Malecon 100 y Loja","Escuela Superior Politecnica del Litoral Ecuador",,,1054,"Guayaquil","Ecuador","2/2/2008",1618,"http://www.espol.edu.ec/","espol.edu.ec","resi",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860072061%29","Escuela Superior Politecnica del Litoral Ecuador","Guayas","national"
57193012973,"Abad J.","Abad","Julio Zambrano","M",60105693,0,0,6,2,1,1,1,"2016-2018",0,"Calle Vieja 12-30 y Elia Liut","Universidad Politécnica Salesiana, Cuenca",121018790,"Robótica Automática (GIIRA)",0,"Cuenca","Ecuador","2/8/2018",0,"https://www.ups.edu.ec/en","ups.edu.ec",,"010105","https://api.elsevier.com/content/search/scopus?query=af-id%28121018790%29","Robótica Automática (GIIRA)","Azuay","national"
56893774200,"Abad K.","Abad","Karina","F",117642477,13,9,6,8,7,7,8,"2015-2019",3,,"CEDIA",,,4,"Cuenca","Ecuador","18/11/2016",6,,,,,"https://api.elsevier.com/content/search/scopus?query=af-id%28117642477%29","CEDIA",,"national"
36668141600,"Abad M.","Abad","Marco","M",60072064,18,17,11,7,7,7,7,"2010-2016",3,"San Cayetano Alto","Universidad Tecnica Particular de Loja",,,983,"Loja","Ecuador","2/2/2008",1450,"http://www.utpl.edu.ec/","utpl.edu.ec","univ",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860072064%29","Tecnica Particular de Loja, Universidad",,"national"
57204394009,"Abad M.","Abad","Mara Falconi","F","",0,0,2,1,1,1,1,"2018-2018",0,,,,,,,,,,,,,,,,,"externalN"
57195314534,"Abad Torres J.","Abad Torres","Jackeline","F",60072054,121,64,19,28,5,9,9,"2012-2020",6,"Campus Politecnico Ruben Orellana / Ladron de Guevara E11-253, ","Escuela Politécnica Nacional",,,1031,"Quito","Ecuador","2/2/2008",1861,"https://www.epn.edu.ec/","epn.edu.ec","univ",170517,"https://api.elsevier.com/content/search/scopus?query=af-id%2860072054%29","Escuela Politecnica Nacional, Ecuador","Ecuador","national"
57194012243,"Abad V.","Abad","Vanessa","F",60001576,115,51,14,12,12,12,12,"2017-2017",6,"Gran Via de les Corts Catalanes 585","Universitat de Barcelona",,,21992,"Barcelona","Spain","2/2/2008",111755,"http://www.ub.es/homeub/en/","ub.es","univ",8007,"https://api.elsevier.com/content/search/scopus?query=af-id%2860001576%29","Barcelona, Universitat de","Barcelona","externalN"
57201385550,"Abad Z.","Abad","Julio","M",60105693,0,0,9,1,1,1,1,"2018-2018",0,"Calle Vieja 12-30 y Elia Liut","Universidad Politécnica Salesiana, Cuenca",116079292,"Department of Electronics Engineering",0,"Cuenca","Ecuador","17/12/2015",0,"https://www.ups.edu.ec/en","ups.edu.ec",,"010105","https://api.elsevier.com/content/search/scopus?query=af-id%28116079292%29","Department of Electronics Engineering","Azuay","national"
