"id_paper","YEAR","citedby_count","doctype","source_id","author_id","gender","orden","affil_id","affiliation_name","country_affil","affil_author_count","affil_document_count","org_type"
"2-s2.0-85061499637",2018,0,"Conference Paper","s21100898283","9-s2.0-57202938204","M",1,"9-u2.0-60104441","Universidad de las Americas - Ecuador","Ecuador",387,662,"univ"
"2-s2.0-85061499637",2018,0,"Conference Paper","s21100898283","9-s2.0-57205766044","M",2,"9-u2.0-60104441","Universidad de las Americas - Ecuador","Ecuador",387,662,"univ"
"2-s2.0-85061497756",2018,0,"Conference Paper","s21100898283","9-s2.0-57034098500","M",1,"9-u2.0-60105693","Universidad Politécnica Salesiana, Cuenca","Ecuador",727,829,"univ"
"2-s2.0-85061497756",2018,0,"Conference Paper","s21100898283","9-s2.0-57205765466","M",2,"9-u2.0-60105693","Universidad Politécnica Salesiana, Cuenca","Ecuador",727,829,"univ"
"2-s2.0-85061508364",2018,0,"Conference Paper","s21100898283","9-s2.0-57205764260","M",1,"9-u2.0-60105693","Universidad Politécnica Salesiana, Cuenca","Ecuador",727,829,"univ"
"2-s2.0-85061508364",2018,0,"Conference Paper","s21100898283","9-s2.0-57205764386","M",2,"9-u2.0-60105693","Universidad Politécnica Salesiana, Cuenca","Ecuador",727,829,"univ"
"2-s2.0-85061499225",2018,1,"Conference Paper","s21100898283","9-s2.0-57193604273","M",1,"9-u2.0-120005373","Autonomous University of Mexico City","Mexico",13,15,NULL
"2-s2.0-85061499225",2018,1,"Conference Paper","s21100898283","9-s2.0-57205762177","M",2,"9-u2.0-120005373","Autonomous University of Mexico City","Mexico",13,15,NULL
"2-s2.0-85061490750",2018,0,"Conference Paper","s21100898283","9-s2.0-57203153771","M",1,"9-u2.0-60108603","Escuela Superior Politécnica de Chimborazo","Ecuador",459,371,"univ"
"2-s2.0-85061490750",2018,0,"Conference Paper","s21100898283","9-s2.0-57189035122","M",2,"9-u2.0-122161287","Instituto Superior Pedagógico Jaime Roldós Aguilera","Ecuador",0,1,NULL
"2-s2.0-85060971479",2018,0,"Conference Paper","s21100897082","9-s2.0-57205658041","M",1,"9-u2.0-60105693","Universidad Politécnica Salesiana, Cuenca","Ecuador",727,829,"univ"
"2-s2.0-85060971479",2018,0,"Conference Paper","s21100897082","9-s2.0-57205661593","M",2,"9-u2.0-60105693","Universidad Politécnica Salesiana, Cuenca","Ecuador",727,829,"univ"
"2-s2.0-85060994960",2018,0,"Conference Paper","s21100897082","9-s2.0-57196247449","M",1,"9-u2.0-60072054","Escuela Politécnica Nacional","Ecuador",1031,1861,"univ"
"2-s2.0-85060994960",2018,0,"Conference Paper","s21100897082","9-s2.0-57205663878","M",2,"9-u2.0-60072054","Escuela Politécnica Nacional","Ecuador",1031,1861,"univ"
"2-s2.0-85061052268",2018,0,"Conference Paper","s21100897121","9-s2.0-35218059800","M",1,"9-u2.0-60025225","University of Southampton","United Kingdom",17302,117917,"univ"
"2-s2.0-85061052268",2018,0,"Conference Paper","s21100897121","9-s2.0-35218059800","M",1,"9-u2.0-60072061","Escuela Superior Politecnica del Litoral Ecuador","Ecuador",1054,1618,"resi"
"2-s2.0-85061052268",2018,0,"Conference Paper","s21100897121","9-s2.0-12142708100","M",2,"9-u2.0-60025225","University of Southampton","United Kingdom",17302,117917,"univ"
"2-s2.0-85059156894",2018,0,"Article","s21100829268","9-s2.0-57205215898","M",1,"9-u2.0-60003138","Universidad de Cordoba","Spain",5461,21528,"univ"
